year,level_1,level_2,level_3,level_4,value
2013,Income Decile - 51st - 60th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Games of Chance,62.6
2013,Income Decile - 51st - 60th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Books,7.5
2013,Income Decile - 51st - 60th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Newspapers and Periodicals,12.8
2013,Income Decile - 51st - 60th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Miscellaneous Printed Materials,0.8
2013,Income Decile - 51st - 60th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Stationery and Drawing Materials,12.7
2013,Income Decile - 51st - 60th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Pre-Primary and Primary Education,55.4
2013,Income Decile - 51st - 60th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Secondary Education,16.8
2013,Income Decile - 51st - 60th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Post-Secondary Education (Non-Tertiary),6.9
2013,Income Decile - 51st - 60th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Polytechnic Education,21.2
2013,Income Decile - 51st - 60th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Professional Qualification and Other Diploma Courses,11.6
2013,Income Decile - 51st - 60th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",University Education,97.5
2013,Income Decile - 51st - 60th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Home-Based Tuition,42.3
2013,Income Decile - 51st - 60th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Centre-Based Tuition,42.3
2013,Income Decile - 51st - 60th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Other Courses,30.4
2013,Income Decile - 51st - 60th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Hairdressing Salons and Personal Grooming Establishments,53.4
2013,Income Decile - 51st - 60th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Electrical Appliances for Personal Care,0.5
2013,Income Decile - 51st - 60th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,"Other Appliances, Articles and Products for Personal Care",88.7
2013,Income Decile - 51st - 60th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,"Jewellery, Clocks and Watches",9.7
2013,Income Decile - 51st - 60th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,Other Personal Effects,38.8
2013,Income Decile - 51st - 60th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,"Life Insurance (Term only, excluding premiums for whole-life plans with saving component)",83.1
2013,Income Decile - 51st - 60th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Housing Insurance,4.3
2013,Income Decile - 51st - 60th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Health Insurance,157.5
2013,Income Decile - 51st - 60th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Transport Insurance,59.8
2013,Income Decile - 51st - 60th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Other Insurance,12.5
2013,Income Decile - 51st - 60th,MISCELLANEOUS GOODS AND SERVICES,OTHER FINANCIAL SERVICES,Other Financial Services n.e.c,0.1
2013,Income Decile - 61st - 70th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Bread and Cereals,90.7
2013,Income Decile - 61st - 70th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Meat,69.8
2013,Income Decile - 61st - 70th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fish and Seafood,64.8
2013,Income Decile - 61st - 70th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Milk, Cheese and Eggs",53.1
2013,Income Decile - 61st - 70th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Oils and Fats,9
2013,Income Decile - 61st - 70th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fruits,52.3
2013,Income Decile - 61st - 70th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Vegetables,53.5
2013,Income Decile - 61st - 70th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Sugar, Jam, Honey, Chocolate and Confectionery",23.1
2013,Income Decile - 61st - 70th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Food Products n.e.c,17.3
2013,Income Decile - 61st - 70th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Coffee, Tea and Cocoa",12
2013,Income Decile - 61st - 70th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Mineral Water, Soft Drinks, Fruit and Vegetable Juices",16.8
2013,Income Decile - 61st - 70th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Spirits,4.3
2013,Income Decile - 61st - 70th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Wine,5.2
2013,Income Decile - 61st - 70th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Beer,6.5
2013,Income Decile - 61st - 70th,CLOTHING AND FOOTWEAR,CLOTHING,Clothing Materials,5.5
2013,Income Decile - 61st - 70th,CLOTHING AND FOOTWEAR,CLOTHING,Garments,133.1
2013,Income Decile - 61st - 70th,CLOTHING AND FOOTWEAR,CLOTHING,Other Clothing and Clothing Accessories,7.1
2013,Income Decile - 61st - 70th,CLOTHING AND FOOTWEAR,CLOTHING,"Cleaning, Repair and Hire of Clothing",2.2
2013,Income Decile - 61st - 70th,CLOTHING AND FOOTWEAR,FOOTWEAR,Shoes and Other Footwear,40
2013,Income Decile - 61st - 70th,CLOTHING AND FOOTWEAR,FOOTWEAR,Repair and Hire of Footwear,0.3
2013,Income Decile - 61st - 70th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Materials for Maintenance and Repair of Dwelling,3.7
2013,Income Decile - 61st - 70th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Services for Maintenance and Repair of Dwelling,22.8
2013,Income Decile - 61st - 70th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,Water Supply and Miscellaneous Services Related to Dwelling,123.2
2013,Income Decile - 61st - 70th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,"Electricity, Gas and Other Fuels",146.1
2013,Income Decile - 61st - 70th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",Furniture and Furnishings,33
2013,Income Decile - 61st - 70th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",Carpets and Other Floor Coverings,0.1
2013,Income Decile - 61st - 70th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS","Repair of Furniture, Furnishings and Floor Coverings",1
2013,Income Decile - 61st - 70th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Major Household Appliances,27.4
2013,Income Decile - 61st - 70th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Small Electrical Household Appliances,12.2
2013,Income Decile - 61st - 70th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Repair of Household Appliances,5.5
2013,Income Decile - 61st - 70th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,Small Tools and Miscellaneous Accessories,6
2013,Income Decile - 61st - 70th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Non-Durable Household Goods,32
2013,Income Decile - 61st - 70th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Domestic Services and Household Services,130.5
2013,Income Decile - 61st - 70th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Pharmaceutical Products,80.9
2013,Income Decile - 61st - 70th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Other Medical Products,4.2
2013,Income Decile - 61st - 70th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Therapeutic Appliances and Equipment,8.8
2013,Income Decile - 61st - 70th,HEALTH,OUTPATIENT SERVICES,Medical Services,104.7
2013,Income Decile - 61st - 70th,HEALTH,OUTPATIENT SERVICES,Dental Services,18.4
2013,Income Decile - 61st - 70th,HEALTH,OUTPATIENT SERVICES,Paramedical Services,26
2013,Income Decile - 61st - 70th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Hospital Services,67.3
2013,Income Decile - 61st - 70th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Intermediate and Long-Term Care Services,5.5
2013,Income Decile - 61st - 70th,TRANSPORT,PURCHASE OF VEHICLES,Motor Cars,283.7
2013,Income Decile - 61st - 70th,TRANSPORT,PURCHASE OF VEHICLES,Motorcycles,7.4
2013,Income Decile - 61st - 70th,TRANSPORT,PURCHASE OF VEHICLES,Bicycles,0.7
2013,Income Decile - 61st - 70th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Spare Parts and Accessories for Vehicles,7.6
2013,Income Decile - 61st - 70th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Fuels and Lubricants for Vehicles,169.4
2013,Income Decile - 61st - 70th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Maintenance and Repair of Vehicles,63.5
2013,Income Decile - 61st - 70th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Other Services in respect of Vehicles,130.3
2013,Income Decile - 61st - 70th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Railway,44.3
2013,Income Decile - 61st - 70th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Road,137.7
2013,Income Decile - 61st - 70th,TRANSPORT,LAND TRANSPORT SERVICES,Combined Passenger Transport by Railway and Road,29.1
2013,Income Decile - 61st - 70th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Air,63.1
2013,Income Decile - 61st - 70th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Sea,1.5
2013,Income Decile - 61st - 70th,TRANSPORT,OTHER TRANSPORT SERVICES,Other Transport Services,0.3
2013,Income Decile - 61st - 70th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Postal Services,0.6
2013,Income Decile - 61st - 70th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Courier/Delivery Services,0.8
2013,Income Decile - 61st - 70th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Audio-Visual Equipment and Accessories,13.2
2013,Income Decile - 61st - 70th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Optical and Photographic Goods,4.5
2013,Income Decile - 61st - 70th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Information Processing Equipment,30.5
2013,Income Decile - 61st - 70th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Recording Media,4.6
2013,Income Decile - 61st - 70th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT","Repair of Audio-Visual, Photographic and Information Processing Equipment",1.9
2013,Income Decile - 61st - 70th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS",Other Major Durables for Recreation and Culture,2
2013,Income Decile - 61st - 70th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS","Other Recreational Items and Equipment, Gardens and Pets",44.9
2013,Income Decile - 61st - 70th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Recreational and Sporting Services,50.7
2013,Income Decile - 61st - 70th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Cultural Services,66.6
2013,Income Decile - 61st - 70th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Games of Chance,65.3
2013,Income Decile - 61st - 70th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Books,6.9
2013,Income Decile - 61st - 70th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Newspapers and Periodicals,12.6
2013,Income Decile - 61st - 70th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Miscellaneous Printed Materials,0.6
2013,Income Decile - 61st - 70th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Stationery and Drawing Materials,10.4
2013,Income Decile - 61st - 70th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Pre-Primary and Primary Education,62
2013,Income Decile - 61st - 70th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Secondary Education,13.3
2013,Income Decile - 61st - 70th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Post-Secondary Education (Non-Tertiary),3.4
2013,Income Decile - 61st - 70th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Polytechnic Education,13.1
2013,Income Decile - 61st - 70th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Professional Qualification and Other Diploma Courses,8.4
2013,Income Decile - 61st - 70th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",University Education,108.6
2013,Income Decile - 61st - 70th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Home-Based Tuition,47.4
2013,Income Decile - 61st - 70th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Centre-Based Tuition,54
2013,Income Decile - 61st - 70th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Other Courses,33.9
2013,Income Decile - 61st - 70th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Hairdressing Salons and Personal Grooming Establishments,56.9
2013,Income Decile - 61st - 70th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Electrical Appliances for Personal Care,1.6
2013,Income Decile - 61st - 70th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,"Other Appliances, Articles and Products for Personal Care",103.7
2013,Income Decile - 61st - 70th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,"Jewellery, Clocks and Watches",7.3
2013,Income Decile - 61st - 70th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,Other Personal Effects,31.8
2013,Income Decile - 61st - 70th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,"Life Insurance (Term only, excluding premiums for whole-life plans with saving component)",77.4
2013,Income Decile - 61st - 70th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Housing Insurance,4
2013,Income Decile - 61st - 70th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Health Insurance,169.9
2013,Income Decile - 61st - 70th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Transport Insurance,62.6
2013,Income Decile - 61st - 70th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Other Insurance,11
2013,Income Decile - 61st - 70th,MISCELLANEOUS GOODS AND SERVICES,OTHER FINANCIAL SERVICES,Other Financial Services n.e.c,0.5
2013,Income Decile - 71st - 80th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Bread and Cereals,84.7
2013,Income Decile - 71st - 80th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Meat,64.6
2013,Income Decile - 71st - 80th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fish and Seafood,63.1
2013,Income Decile - 71st - 80th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Milk, Cheese and Eggs",55.7
2013,Income Decile - 71st - 80th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Oils and Fats,8.3
2013,Income Decile - 71st - 80th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fruits,50.9
2013,Income Decile - 71st - 80th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Vegetables,53.7
2013,Income Decile - 71st - 80th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Sugar, Jam, Honey, Chocolate and Confectionery",18.4
2013,Income Decile - 71st - 80th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Food Products n.e.c,17.9
2013,Income Decile - 71st - 80th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Coffee, Tea and Cocoa",12.8
2013,Income Decile - 71st - 80th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Mineral Water, Soft Drinks, Fruit and Vegetable Juices",14.8
2013,Income Decile - 71st - 80th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Spirits,3.2
2013,Income Decile - 71st - 80th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Wine,5.3
2013,Income Decile - 71st - 80th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Beer,5.7
2013,Income Decile - 71st - 80th,CLOTHING AND FOOTWEAR,CLOTHING,Clothing Materials,1.1
2013,Income Decile - 71st - 80th,CLOTHING AND FOOTWEAR,CLOTHING,Garments,163.9
2013,Income Decile - 71st - 80th,CLOTHING AND FOOTWEAR,CLOTHING,Other Clothing and Clothing Accessories,5
2013,Income Decile - 71st - 80th,CLOTHING AND FOOTWEAR,CLOTHING,"Cleaning, Repair and Hire of Clothing",3.2
2013,Income Decile - 71st - 80th,CLOTHING AND FOOTWEAR,FOOTWEAR,Shoes and Other Footwear,46.3
2013,Income Decile - 71st - 80th,CLOTHING AND FOOTWEAR,FOOTWEAR,Repair and Hire of Footwear,0.4
2013,Income Decile - 71st - 80th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Materials for Maintenance and Repair of Dwelling,1.9
2013,Income Decile - 71st - 80th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Services for Maintenance and Repair of Dwelling,10.7
2013,Income Decile - 71st - 80th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,Water Supply and Miscellaneous Services Related to Dwelling,141.2
2013,Income Decile - 71st - 80th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,"Electricity, Gas and Other Fuels",152.5
2013,Income Decile - 71st - 80th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",Furniture and Furnishings,48.6
2013,Income Decile - 71st - 80th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS","Repair of Furniture, Furnishings and Floor Coverings",1
2013,Income Decile - 71st - 80th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Major Household Appliances,35.7
2013,Income Decile - 71st - 80th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Small Electrical Household Appliances,14.5
2013,Income Decile - 71st - 80th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Repair of Household Appliances,4
2013,Income Decile - 71st - 80th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,Small Tools and Miscellaneous Accessories,6.4
2013,Income Decile - 71st - 80th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Non-Durable Household Goods,37.4
2013,Income Decile - 71st - 80th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Domestic Services and Household Services,175.2
2013,Income Decile - 71st - 80th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Pharmaceutical Products,74.4
2013,Income Decile - 71st - 80th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Other Medical Products,1.9
2013,Income Decile - 71st - 80th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Therapeutic Appliances and Equipment,16.1
2013,Income Decile - 71st - 80th,HEALTH,OUTPATIENT SERVICES,Medical Services,84.8
2013,Income Decile - 71st - 80th,HEALTH,OUTPATIENT SERVICES,Dental Services,14.6
2013,Income Decile - 71st - 80th,HEALTH,OUTPATIENT SERVICES,Paramedical Services,33.5
2013,Income Decile - 71st - 80th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Hospital Services,68
2013,Income Decile - 71st - 80th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Intermediate and Long-Term Care Services,4.9
2013,Income Decile - 71st - 80th,TRANSPORT,PURCHASE OF VEHICLES,Motor Cars,345.3
2013,Income Decile - 71st - 80th,TRANSPORT,PURCHASE OF VEHICLES,Motorcycles,3.8
2013,Income Decile - 71st - 80th,TRANSPORT,PURCHASE OF VEHICLES,Bicycles,0.8
2013,Income Decile - 71st - 80th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Spare Parts and Accessories for Vehicles,9.1
2013,Income Decile - 71st - 80th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Fuels and Lubricants for Vehicles,199
2013,Income Decile - 71st - 80th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Maintenance and Repair of Vehicles,73.8
2013,Income Decile - 71st - 80th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Other Services in respect of Vehicles,155.7
2013,Income Decile - 71st - 80th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Railway,41.6
2013,Income Decile - 71st - 80th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Road,132.9
2013,Income Decile - 71st - 80th,TRANSPORT,LAND TRANSPORT SERVICES,Combined Passenger Transport by Railway and Road,26.4
2013,Income Decile - 71st - 80th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Air,80.2
2013,Income Decile - 71st - 80th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Sea,1.2
2013,Income Decile - 71st - 80th,TRANSPORT,OTHER TRANSPORT SERVICES,Other Transport Services,0.7
2013,Income Decile - 71st - 80th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Postal Services,0.5
2013,Income Decile - 71st - 80th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Courier/Delivery Services,0.6
2013,Income Decile - 71st - 80th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Audio-Visual Equipment and Accessories,17.2
2013,Income Decile - 71st - 80th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Optical and Photographic Goods,2.9
2013,Income Decile - 71st - 80th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Information Processing Equipment,23.6
2013,Income Decile - 71st - 80th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Recording Media,4.3
2013,Income Decile - 71st - 80th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT","Repair of Audio-Visual, Photographic and Information Processing Equipment",2.7
2013,Income Decile - 71st - 80th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS",Other Major Durables for Recreation and Culture,6.9
2013,Income Decile - 71st - 80th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS","Other Recreational Items and Equipment, Gardens and Pets",51.5
2013,Income Decile - 71st - 80th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Recreational and Sporting Services,56
2013,Income Decile - 71st - 80th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Cultural Services,70
2013,Income Decile - 71st - 80th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Games of Chance,66
2013,Income Decile - 71st - 80th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Books,13.1
2013,Income Decile - 71st - 80th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Newspapers and Periodicals,12.9
2013,Income Decile - 71st - 80th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Miscellaneous Printed Materials,1.4
2013,Income Decile - 71st - 80th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Stationery and Drawing Materials,11.2
2013,Income Decile - 71st - 80th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Pre-Primary and Primary Education,52.8
2013,Income Decile - 71st - 80th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Secondary Education,11.6
2013,Income Decile - 71st - 80th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Post-Secondary Education (Non-Tertiary),4
2013,Income Decile - 71st - 80th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Polytechnic Education,6.2
2013,Income Decile - 71st - 80th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Professional Qualification and Other Diploma Courses,2.4
2013,Income Decile - 71st - 80th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",University Education,79.8
2013,Income Decile - 71st - 80th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Home-Based Tuition,41.9
